id,image_path,label
0,dataset_final/train\00LH2877.png,00LH2877
1,dataset_final/train\0310CRG.png,0310CRG
2,dataset_final/train\04KY53I2.png,04KY53I2
3,dataset_final/train\04WH3753.png,04WH3753
4,dataset_final/train\0648BU.png,0648BU
5,dataset_final/train\07KE10361.png,07KE10361
6,dataset_final/train\08BBJ9.png,08BBJ9
7,dataset_final/train\1020HG90.jpg,1020HG90
8,dataset_final/train\103YC68.jpg,103YC68
9,dataset_final/train\1131XD29.jpg,1131XD29
10,dataset_final/train\1218ZD25.jpg,1218ZD25
12,dataset_final/train\1484ZM30.png,1484ZM30
13,dataset_final/train\1500WD68.jpg,1500WD68
14,dataset_final/train\19LPBL1.png,19LPBL1
15,dataset_final/train\1AAL547.png,1AAL547
16,dataset_final/train\1AAL547_1.png,1AAL547_1
17,dataset_final/train\1BQQ250.png,1BQQ250
18,dataset_final/train\1GFZ461.png,1GFZ461
19,dataset_final/train\1KTT82.png,1KTT82
20,dataset_final/train\1OYD682.png,1OYD682
21,dataset_final/train\20319TTW.png,20319TTW
22,dataset_final/train\20CEY44.jpg,20CEY44
23,dataset_final/train\2330GY90.jpg,2330GY90
24,dataset_final/train\236M125.png,236M125
25,dataset_final/train\2417GSM.png,2417GSM
26,dataset_final/train\24EZ90.jpg,24EZ90
27,dataset_final/train\252AYF67.png,252AYF67
28,dataset_final/train\2AN0913.png,2AN0913
29,dataset_final/train\2KVB52.png,2KVB52
30,dataset_final/train\30VBX7.png,30VBX7
31,dataset_final/train\3233YG30.png,3233YG30
32,dataset_final/train\3233YG30_1.png,3233YG30_1
33,dataset_final/train\32LZ43.png,32LZ43
34,dataset_final/train\3307WWA84.png,3307WWA84
35,dataset_final/train\3372HKW.png,3372HKW
36,dataset_final/train\33DS71.png,33DS71
37,dataset_final/train\381ATK83.png,381ATK83
38,dataset_final/train\3956ZJ68.jpg,3956ZJ68
39,dataset_final/train\3H360E.png,3H360E
40,dataset_final/train\4293HF.png,4293HF
41,dataset_final/train\42MR22.png,42MR22
42,dataset_final/train\43TFQ92.png,43TFQ92
43,dataset_final/train\45XM6.png,45XM6
44,dataset_final/train\4969ZD56.png,4969ZD56
45,dataset_final/train\4980BM.png,4980BM
46,dataset_final/train\4CO78E.png,4CO78E
47,dataset_final/train\50KZ08.png,50KZ08
48,dataset_final/train\5122WQ06.jpg,5122WQ06
49,dataset_final/train\515ND70.jpg,515ND70
50,dataset_final/train\5483648.png,5483648
51,dataset_final/train\54JXF8.png,54JXF8
52,dataset_final/train\5675858.png,5675858
53,dataset_final/train\5951FPF.png,5951FPF
54,dataset_final/train\6099TV66.jpg,6099TV66
55,dataset_final/train\6176YM27.jpg,6176YM27
56,dataset_final/train\6473GZR.png,6473GZR
57,dataset_final/train\6807GZ2A.png,6807GZ2A
58,dataset_final/train\6935XY64.jpg,6935XY64
59,dataset_final/train\71TPR1.png,71TPR1
60,dataset_final/train\72WFRV.png,72WFRV
61,dataset_final/train\7418ZE25.jpg,7418ZE25
62,dataset_final/train\75N1960G_1.png,75N1960G_1
63,dataset_final/train\75XNH3.png,75XNH3
64,dataset_final/train\7770ZP14.jpg,7770ZP14
65,dataset_final/train\7796ZA30.png,7796ZA30
66,dataset_final/train\779PRA75.jpg,779PRA75
67,dataset_final/train\7B71000.png,7B71000
68,dataset_final/train\8185ZS30.png,8185ZS30
69,dataset_final/train\8326WWG34.png,8326WWG34
70,dataset_final/train\84R2712A.png,84R2712A
71,dataset_final/train\84R2712A_1.png,84R2712A_1
72,dataset_final/train\9089TW22.jpg,9089TW22
73,dataset_final/train\9148SZ66.jpg,9148SZ66
74,dataset_final/train\9343ZH68.jpg,9343ZH68
75,dataset_final/train\9348BN.png,9348BN
76,dataset_final/train\9551WA64.jpg,9551WA64
77,dataset_final/train\97C17149.png,97C17149
78,dataset_final/train\97WW755.png,97WW755
79,dataset_final/train\995AXF35.jpg,995AXF35
80,dataset_final/train\996AHG.png,996AHG
81,dataset_final/train\9A911D.png,9A911D
82,dataset_final/train\9EBT002.png,9EBT002
83,dataset_final/train\9JAG121.png,9JAG121
84,dataset_final/train\9JAG121_1.png,9JAG121_1
85,dataset_final/train\AA1399B0.png,AA1399B0
86,dataset_final/train\AA252WS.jpg,AA252WS
87,dataset_final/train\AA508ST.png,AA508ST
88,dataset_final/train\AA601DQ.png,AA601DQ
89,dataset_final/train\AA6888KI.png,AA6888KI
90,dataset_final/train\AA821PT.png,AA821PT
91,dataset_final/train\AAAA111.JPG,AAAA111
92,dataset_final/train\ABA1234.JPG,ABA1234
93,dataset_final/train\ABGAP33.png,ABGAP33
94,dataset_final/train\ACJ1698.png,ACJ1698
95,dataset_final/train\AE014ZH.png,AE014ZH
96,dataset_final/train\AE335VY.jpg,AE335VY
97,dataset_final/train\AEK5017.png,AEK5017
98,dataset_final/train\AFZ8924.png,AFZ8924
99,dataset_final/train\AH004FEZ.png,AH004FEZ
100,dataset_final/train\AH595PC.png,AH595PC
101,dataset_final/train\AI20291.png,AI20291
102,dataset_final/train\AI20291_1.png,AI20291_1
103,dataset_final/train\AK685FJ.jpg,AK685FJ
104,dataset_final/train\AL333SM.jpg,AL333SM
105,dataset_final/train\AM113DA.png,AM113DA
106,dataset_final/train\ANCL550.png,ANCL550
107,dataset_final/train\ANK7444.png,ANK7444
108,dataset_final/train\AP645VY.jpg,AP645VY
109,dataset_final/train\AP666TQ.jpg,AP666TQ
110,dataset_final/train\AP819FK.jpg,AP819FK
111,dataset_final/train\AR21346.png,AR21346
112,dataset_final/train\AR687FF.jpg,AR687FF
113,dataset_final/train\AT688KL.jpg,AT688KL
114,dataset_final/train\AV812LT.png,AV812LT
115,dataset_final/train\AY963FL.jpg,AY963FL
116,dataset_final/train\AZ998DA.png,AZ998DA
117,dataset_final/train\B089414.png,B089414
118,dataset_final/train\B101JGV.png,B101JGV
119,dataset_final/train\B111TXS.png,B111TXS
120,dataset_final/train\B121NCA.png,B121NCA
121,dataset_final/train\B121PHD_1.png,B121PHD_1
122,dataset_final/train\B144MOS.png,B144MOS
123,dataset_final/train\B152FTO.png,B152FTO
124,dataset_final/train\B172WAW.png,B172WAW
125,dataset_final/train\B176WOW.png,B176WOW
126,dataset_final/train\B198FLN.png,B198FLN
127,dataset_final/train\B24RRX.png,B24RRX
128,dataset_final/train\B276WOW.png,B276WOW
129,dataset_final/train\B305CIL.png,B305CIL
130,dataset_final/train\B310VLV.png,B310VLV
131,dataset_final/train\B311ALY.png,B311ALY
132,dataset_final/train\B311ALY_1.png,B311ALY_1
133,dataset_final/train\B320WTW.png,B320WTW
134,dataset_final/train\B320WTW_1.png,B320WTW_1
135,dataset_final/train\B3456.png,B3456
136,dataset_final/train\B449AP.png,B449AP
137,dataset_final/train\B535SFI.png,B535SFI
138,dataset_final/train\B577PRO.png,B577PRO
139,dataset_final/train\B57RCH.png,B57RCH
140,dataset_final/train\B58BBP.png,B58BBP
141,dataset_final/train\B58DTK.png,B58DTK
142,dataset_final/train\B58RMB.png,B58RMB
143,dataset_final/train\B68SPK.png,B68SPK
144,dataset_final/train\B69SXV.png,B69SXV
145,dataset_final/train\B75MCY.png,B75MCY
146,dataset_final/train\B75MCY_1.png,B75MCY_1
147,dataset_final/train\B839HAR.png,B839HAR
148,dataset_final/train\B839HAR_1.png,B839HAR_1
149,dataset_final/train\B90MYU.png,B90MYU
150,dataset_final/train\B911BLG.png,B911BLG
151,dataset_final/train\B911BLG_1.png,B911BLG_1
152,dataset_final/train\B91SYE.png,B91SYE
153,dataset_final/train\B95GSV.png,B95GSV
154,dataset_final/train\B96SXV.png,B96SXV
155,dataset_final/train\B96TRH.png,B96TRH
156,dataset_final/train\B97TWD_1.png,B97TWD_1
157,dataset_final/train\B98LPM.png,B98LPM
158,dataset_final/train\B99BNX.png,B99BNX
159,dataset_final/train\BA0304AC.png,BA0304AC
160,dataset_final/train\BA065FT.jpg,BA065FT
161,dataset_final/train\BA493MK.png,BA493MK
162,dataset_final/train\BA884XN.jpg,BA884XN
163,dataset_final/train\BAXA506.png,BAXA506
164,dataset_final/train\BAXB500.png,BAXB500
165,dataset_final/train\BB128ZB.jpg,BB128ZB
166,dataset_final/train\BB683JP.png,BB683JP
167,dataset_final/train\BB980NJ.jpg,BB980NJ
168,dataset_final/train\BBHZ1007.png,BBHZ1007
169,dataset_final/train\BC081WH.png,BC081WH
170,dataset_final/train\BE19260.png,BE19260
171,dataset_final/train\BE259030.png,BE259030
172,dataset_final/train\BE259030_1.png,BE259030_1
173,dataset_final/train\BE609343.png,BE609343
174,dataset_final/train\BE800HG.png,BE800HG
175,dataset_final/train\BE850NF.jpg,BE850NF
176,dataset_final/train\BF058NY.jpg,BF058NY
177,dataset_final/train\BF283TX.png,BF283TX
178,dataset_final/train\BG19517.png,BG19517
179,dataset_final/train\BH109XW.jpg,BH109XW
180,dataset_final/train\BH3946BT.png,BH3946BT
181,dataset_final/train\BH66597.png,BH66597
182,dataset_final/train\BH688GW.jpg,BH688GW
183,dataset_final/train\BH815JR.jpg,BH815JR
184,dataset_final/train\BIA3IGJ.png,BIA3IGJ
185,dataset_final/train\BJ202ZP.jpg,BJ202ZP
